pop_size,	 sequence_length,	 recombination_rate,	 random_seed,	 dtwf_vs_hudson,	 selective_sweep,	 max_root_time
100,	 1000,	 -9,	 1,	 0,	 0,	 248.000000
100,	 1000,	 -9,	 1,	 0,	 1,	 282.000000
100,	 1000,	 -9,	 1,	 1,	 0,	 430.417278
100,	 1000,	 -9,	 1,	 1,	 1,	 193.800339
100,	 1000,	 -9,	 2,	 0,	 0,	 124.000000
100,	 1000,	 -9,	 2,	 0,	 1,	 141.000000
100,	 1000,	 -9,	 2,	 1,	 0,	 1095.096855
100,	 1000,	 -9,	 2,	 1,	 1,	 344.582152
100,	 10000,	 -7,	 1,	 0,	 0,	 844.000000
100,	 10000,	 -7,	 1,	 0,	 1,	 878.000000
100,	 10000,	 -7,	 1,	 1,	 0,	 249.645942
100,	 10000,	 -7,	 1,	 1,	 1,	 193.800339
100,	 10000,	 -7,	 2,	 0,	 0,	 458.000000
100,	 10000,	 -7,	 2,	 0,	 1,	 124.000000
100,	 10000,	 -7,	 2,	 1,	 0,	 1625.130944
100,	 10000,	 -7,	 2,	 1,	 1,	 344.582152
100,	 10000,	 -8,	 1,	 0,	 0,	 248.000000
100,	 10000,	 -8,	 1,	 0,	 1,	 282.000000
100,	 10000,	 -8,	 1,	 1,	 0,	 1033.611383
100,	 10000,	 -8,	 1,	 1,	 1,	 193.800339
100,	 10000,	 -8,	 2,	 0,	 0,	 124.000000
100,	 10000,	 -8,	 2,	 0,	 1,	 141.000000
100,	 10000,	 -8,	 2,	 1,	 0,	 1095.096855
100,	 10000,	 -8,	 2,	 1,	 1,	 344.582152
100,	 10000,	 -9,	 1,	 0,	 0,	 248.000000
100,	 10000,	 -9,	 1,	 0,	 1,	 282.000000
100,	 10000,	 -9,	 1,	 1,	 0,	 430.417278
100,	 10000,	 -9,	 1,	 1,	 1,	 193.800339
100,	 10000,	 -9,	 2,	 0,	 0,	 124.000000
100,	 10000,	 -9,	 2,	 0,	 1,	 141.000000
100,	 10000,	 -9,	 2,	 1,	 0,	 1095.096855
100,	 10000,	 -9,	 2,	 1,	 1,	 344.582152
100,	 100000,	 -7,	 1,	 0,	 0,	 547.000000
100,	 100000,	 -7,	 1,	 0,	 1,	 585.000000
100,	 100000,	 -7,	 1,	 1,	 0,	 1044.187327
100,	 100000,	 -7,	 1,	 1,	 1,	 813.653716
